date,day_of_week,month,season,attendance,meal_type,menu,rain,temperature,holiday,exam,campus_event,previous_consumption,previous_surplus,meals_consumed
2010-01-07,3,1,Winter,317,Breakfast,Tea,0,20.3,0,0,0,234,109,271
2010-01-07,3,1,Winter,317,Breakfast,Banana,0,20.3,0,0,0,271,72,237
2010-01-07,3,1,Winter,420,Dinner,Chole,0,20.3,0,0,0,403,105,398
2010-01-07,3,1,Winter,420,Dinner,Bhature,0,20.3,0,0,0,398,56,404
2010-01-07,3,1,Winter,420,Dinner,Dahi,0,20.3,0,0,0,404,50,347
2010-01-07,3,1,Winter,420,Dinner,Pudina Chutney,0,20.3,0,0,0,347,107,245
2010-01-07,3,1,Winter,470,Lunch,Dry Ghuguni,0,20.3,0,0,0,237,106,382
2010-01-07,3,1,Winter,470,Lunch,Aloo Dum,0,20.3,0,0,0,382,126,430
2010-01-07,3,1,Winter,470,Lunch,Onion,0,20.3,0,0,0,430,78,231
2010-01-07,3,1,Winter,470,Lunch,Dahi,0,20.3,0,0,0,231,277,403
2010-01-08,4,1,Winter,380,Breakfast,Boiled Egg,0,23.1,0,0,0,245,209,320
2010-01-08,4,1,Winter,380,Breakfast,Bread,0,23.1,0,0,0,320,91,283
2010-01-08,4,1,Winter,380,Breakfast,Coffee,0,23.1,0,0,0,283,128,261
2010-01-08,4,1,Winter,457,Dinner,Ghuguni,0,23.1,0,0,0,421,69,387
2010-01-08,4,1,Winter,457,Dinner,Aloo Dum,0,23.1,0,0,0,387,107,400
2010-01-08,4,1,Winter,457,Dinner,Onion,0,23.1,0,0,0,400,94,239
2010-01-08,4,1,Winter,457,Dinner,Dahi,0,23.1,0,0,0,239,255,371
2010-01-08,4,1,Winter,453,Lunch,Ghuguni,0,23.1,0,0,0,261,150,412
2010-01-08,4,1,Winter,453,Lunch,Aloo Dum,0,23.1,0,0,0,412,78,433
2010-01-08,4,1,Winter,453,Lunch,Onion,0,23.1,0,0,0,433,57,182
2010-01-08,4,1,Winter,453,Lunch,Dahi,0,23.1,0,0,0,182,308,421
2010-01-09,5,1,Winter,375,Breakfast,Onion Masala Dosa,0,15.0,0,0,0,371,123,304
2010-01-09,5,1,Winter,375,Breakfast,Sambar,0,15.0,0,0,0,304,101,300
2010-01-09,5,1,Winter,375,Breakfast,Coconut Chutney,0,15.0,0,0,0,300,105,187
2010-01-09,5,1,Winter,434,Dinner,Chole,0,15.0,0,0,0,206,251,362
2010-01-09,5,1,Winter,434,Dinner,Bhature,0,15.0,0,0,0,362,107,415
2010-01-09,5,1,Winter,434,Dinner,Dahi,0,15.0,0,0,0,415,54,354
2010-01-09,5,1,Winter,434,Dinner,Pudina Chutney,0,15.0,0,0,0,354,115,272
2010-01-09,5,1,Winter,423,Lunch,Aloo Chop,0,15.0,0,0,0,187,218,341
2010-01-09,5,1,Winter,423,Lunch,Dahi,0,15.0,0,0,0,341,116,379
2010-01-09,5,1,Winter,423,Lunch,Onion,0,15.0,0,0,0,379,78,189
2010-01-09,5,1,Winter,423,Lunch,Sev,0,15.0,0,0,0,189,268,206
2010-01-10,6,1,Winter,285,Breakfast,Boiled Egg,0,19.5,0,0,0,272,197,216
2010-01-10,6,1,Winter,285,Breakfast,Bread,0,19.5,0,0,0,216,92,183
2010-01-10,6,1,Winter,285,Breakfast,Tea,0,19.5,0,0,0,183,125,230
2010-01-10,6,1,Winter,330,Dinner,Chole,0,19.5,0,0,0,321,103,299
2010-01-10,6,1,Winter,330,Dinner,Bhature,0,19.5,0,0,0,299,58,309
2010-01-10,6,1,Winter,330,Dinner,Onion,0,19.5,0,0,0,309,48,148
2010-01-10,6,1,Winter,392,Lunch,Vada Pav,0,19.5,0,0,0,230,78,373
2010-01-10,6,1,Winter,392,Lunch,Sev,0,19.5,0,0,0,373,51,233
2010-01-10,6,1,Winter,392,Lunch,Onion,0,19.5,0,0,0,233,191,176
2010-01-10,6,1,Winter,392,Lunch,Dahi,0,19.5,0,0,0,176,248,321
2010-01-11,0,1,Winter,275,Breakfast,Boiled Egg,0,17.7,0,1,0,148,209,175
2010-01-11,0,1,Winter,275,Breakfast,Bread,0,17.7,0,1,0,175,122,201
2010-01-11,0,1,Winter,275,Breakfast,Tea,0,17.7,0,1,0,201,96,270
2010-01-11,0,1,Winter,389,Dinner,Onion Masala Dosa,0,17.7,0,1,0,345,84,385
2010-01-11,0,1,Winter,389,Dinner,Sambar,0,17.7,0,1,0,385,36,339
2010-01-11,0,1,Winter,389,Dinner,Coconut Chutney,0,17.7,0,1,0,339,82,216
2010-01-11,0,1,Winter,389,Dinner,Dahi,0,17.7,0,1,0,216,205,294
2010-01-11,0,1,Winter,397,Lunch,Onion Masala Dosa,0,17.7,0,1,0,270,27,374
2010-01-11,0,1,Winter,397,Lunch,Sambar,0,17.7,0,1,0,374,55,358
2010-01-11,0,1,Winter,397,Lunch,Coconut Chutney,0,17.7,0,1,0,358,71,252
2010-01-11,0,1,Winter,397,Lunch,Dahi,0,17.7,0,1,0,252,177,345
2010-01-12,1,1,Winter,342,Breakfast,Milkshake,0,22.0,0,0,1,294,127,256
2010-01-12,1,1,Winter,342,Breakfast,Bread,0,22.0,0,0,1,256,114,233
2010-01-12,1,1,Winter,342,Breakfast,Banana,0,22.0,0,0,1,233,137,265
2010-01-12,1,1,Winter,440,Dinner,Onion Masala Dosa,0,22.0,0,0,1,216,308,393
2010-01-12,1,1,Winter,440,Dinner,Sambar,0,22.0,0,0,1,393,83,416
2010-01-12,1,1,Winter,440,Dinner,Coconut Chutney,0,22.0,0,0,1,416,60,305
2010-01-12,1,1,Winter,440,Dinner,Dahi,0,22.0,0,0,1,305,171,370
2010-01-12,1,1,Winter,485,Lunch,Aloo Dum,0,22.0,0,0,1,265,105,437
2010-01-12,1,1,Winter,485,Lunch,Dahi,0,22.0,0,0,1,437,87,450
2010-01-12,1,1,Winter,485,Lunch,Fried Chilli,0,22.0,0,0,1,450,74,333
2010-01-12,1,1,Winter,485,Lunch,Onion,0,22.0,0,0,1,333,191,216
2010-01-13,2,1,Winter,140,Breakfast,Cream Bun,0,20.0,1,0,0,370,106,85
2010-01-13,2,1,Winter,140,Breakfast,Coffee,0,20.0,1,0,0,85,67,83
2010-01-13,2,1,Winter,140,Breakfast,Banana,0,20.0,1,0,0,83,69,98
2010-01-13,2,1,Winter,184,Dinner,Chole,0,20.0,1,0,0,157,62,148
2010-01-13,2,1,Winter,184,Dinner,Bhature,0,20.0,1,0,0,148,51,172
2010-01-13,2,1,Winter,184,Dinner,Dahi,0,20.0,1,0,0,172,27,160
2010-01-13,2,1,Winter,184,Dinner,Fried Chilli,0,20.0,1,0,0,160,39,111
2010-01-13,2,1,Winter,184,Dinner,Onion,0,20.0,1,0,0,111,88,78
2010-01-13,2,1,Winter,202,Lunch,Vada Pav,0,20.0,1,0,0,98,54,188
2010-01-13,2,1,Winter,202,Lunch,Sev,0,20.0,1,0,0,188,31,106
2010-01-13,2,1,Winter,202,Lunch,Onion,0,20.0,1,0,0,106,113,94
2010-01-13,2,1,Winter,202,Lunch,Dahi,0,20.0,1,0,0,94,125,157
2010-01-14,3,1,Winter,389,Breakfast,Bada,0,20.3,0,0,0,78,121,286
2010-01-14,3,1,Winter,389,Breakfast,Sambar,0,20.3,0,0,0,286,135,319
2010-01-14,3,1,Winter,389,Breakfast,Pudina Chutney,0,20.3,0,0,0,319,102,206
2010-01-14,3,1,Winter,440,Dinner,Chole,0,20.3,0,0,0,373,126,410
2010-01-14,3,1,Winter,440,Dinner,Bhature,0,20.3,0,0,0,410,66,399
2010-01-14,3,1,Winter,440,Dinner,Onion,0,20.3,0,0,0,399,77,188
2010-01-14,3,1,Winter,462,Lunch,Vada Pav,0,20.3,0,0,0,206,215,455
2010-01-14,3,1,Winter,462,Lunch,Sev,0,20.3,0,0,0,455,44,234
2010-01-14,3,1,Winter,462,Lunch,Onion,0,20.3,0,0,0,234,265,155
2010-01-14,3,1,Winter,462,Lunch,Dahi,0,20.3,0,0,0,155,344,373
2010-01-15,4,1,Winter,328,Breakfast,Boiled Egg,0,23.6,0,0,0,188,288,258
2010-01-15,4,1,Winter,328,Breakfast,Bread,0,23.6,0,0,0,258,97,265
2010-01-15,4,1,Winter,328,Breakfast,Tea,0,23.6,0,0,0,265,90,278
2010-01-15,4,1,Winter,424,Dinner,Papdi Chaat,0,23.6,0,0,0,398,81,357
2010-01-15,4,1,Winter,424,Dinner,Dahi,0,23.6,0,0,0,357,101,339
2010-01-15,4,1,Winter,424,Dinner,Sev,0,23.6,0,0,0,339,119,247
2010-01-15,4,1,Winter,424,Dinner,Pudina Chutney,0,23.6,0,0,0,247,211,212
2010-01-15,4,1,Winter,443,Lunch,Dry Ghuguni,0,23.6,0,0,0,278,77,353
2010-01-15,4,1,Winter,443,Lunch,Aloo Dum,0,23.6,0,0,0,353,126,420
2010-01-15,4,1,Winter,443,Lunch,Onion,0,23.6,0,0,0,420,59,186
2010-01-15,4,1,Winter,443,Lunch,Dahi,0,23.6,0,0,0,186,293,398
2010-01-16,5,1,Winter,252,Breakfast,Idli,1,23.0,0,0,0,212,246,199
2010-01-16,5,1,Winter,252,Breakfast,Sambar,1,23.0,0,0,0,199,74,200
2010-01-16,5,1,Winter,252,Breakfast,Pudina Chutney,1,23.0,0,0,0,200,73,116
2010-01-16,5,1,Winter,352,Dinner,Aloo Chop,1,23.0,0,0,0,178,208,283
2010-01-16,5,1,Winter,352,Dinner,Dahi,1,23.0,0,0,0,283,98,287
2010-01-16,5,1,Winter,352,Dinner,Onion,1,23.0,0,0,0,287,94,115
2010-01-16,5,1,Winter,352,Dinner,Sev,1,23.0,0,0,0,115,266,202
2010-01-16,5,1,Winter,357,Lunch,Aloo Samosa,1,23.0,0,0,0,116,157,319
2010-01-16,5,1,Winter,357,Lunch,Dahi,1,23.0,0,0,0,319,67,296
2010-01-16,5,1,Winter,357,Lunch,Onion,1,23.0,0,0,0,296,90,152
2010-01-16,5,1,Winter,357,Lunch,Pudina Chutney,1,23.0,0,0,0,152,234,178
2010-01-17,6,1,Winter,122,Breakfast,Vada Pav,1,24.4,1,0,0,202,179,85
2010-01-17,6,1,Winter,122,Breakfast,Tea,1,24.4,1,0,0,85,47,88
2010-01-17,6,1,Winter,122,Breakfast,Banana,1,24.4,1,0,0,88,44,87
2010-01-17,6,1,Winter,164,Dinner,Dry Ghuguni,1,24.4,1,0,0,80,112,123
2010-01-17,6,1,Winter,164,Dinner,Aloo Dum,1,24.4,1,0,0,123,55,139
2010-01-17,6,1,Winter,164,Dinner,Onion,1,24.4,1,0,0,139,39,45
2010-01-17,6,1,Winter,164,Dinner,Dahi,1,24.4,1,0,0,45,133,114
2010-01-17,6,1,Winter,177,Lunch,Chole,1,24.4,1,0,0,87,45,151
2010-01-17,6,1,Winter,177,Lunch,Bhature,1,24.4,1,0,0,151,41,150
2010-01-17,6,1,Winter,177,Lunch,Dahi,1,24.4,1,0,0,150,42,129
2010-01-17,6,1,Winter,177,Lunch,Onion,1,24.4,1,0,0,129,63,80
2010-01-18,0,1,Winter,341,Breakfast,Idli,0,14.7,0,0,0,114,64,248
2010-01-18,0,1,Winter,341,Breakfast,Sambar,0,14.7,0,0,0,248,121,271
2010-01-18,0,1,Winter,341,Breakfast,Groundnut Chutney,0,14.7,0,0,0,271,98,198
2010-01-18,0,1,Winter,430,Dinner,Aloo Samosa,0,14.7,0,0,0,198,258,391
2010-01-18,0,1,Winter,430,Dinner,Dahi,0,14.7,0,0,0,391,74,384
2010-01-18,0,1,Winter,430,Dinner,Pudina Chutney,0,14.7,0,0,0,384,81,251
2010-01-18,0,1,Winter,430,Dinner,Onion,0,14.7,0,0,0,251,214,139
2010-01-18,0,1,Winter,422,Lunch,Papdi Chaat,0,14.7,0,0,0,198,171,355
2010-01-18,0,1,Winter,422,Lunch,Dahi,0,14.7,0,0,0,355,101,338
2010-01-18,0,1,Winter,422,Lunch,Sev,0,14.7,0,0,0,338,118,232
2010-01-18,0,1,Winter,422,Lunch,Pudina Chutney,0,14.7,0,0,0,232,224,198
2010-01-19,1,1,Winter,377,Breakfast,Ghuguni,0,17.1,0,0,0,139,326,319
2010-01-19,1,1,Winter,377,Breakfast,Bread,0,17.1,0,0,0,319,89,278
2010-01-19,1,1,Winter,377,Breakfast,Tea,0,17.1,0,0,0,278,130,365
2010-01-19,1,1,Winter,448,Dinner,Aloo Dum,0,17.1,0,0,0,414,110,395
2010-01-19,1,1,Winter,448,Dinner,Dahi,0,17.1,0,0,0,395,89,387
2010-01-19,1,1,Winter,448,Dinner,Fried Chilli,0,17.1,0,0,0,387,97,280
2010-01-19,1,1,Winter,448,Dinner,Onion,0,17.1,0,0,0,280,204,179
2010-01-19,1,1,Winter,485,Lunch,Ghuguni,0,17.1,0,0,0,365,43,446
2010-01-19,1,1,Winter,485,Lunch,Aloo Chop,0,17.1,0,0,0,446,78,444
2010-01-19,1,1,Winter,485,Lunch,Onion,0,17.1,0,0,0,444,80,207
2010-01-19,1,1,Winter,485,Lunch,Dahi,0,17.1,0,0,0,207,317,414
2010-01-20,2,1,Winter,363,Breakfast,Pav,0,16.5,0,0,1,179,305,269
2010-01-20,2,1,Winter,363,Breakfast,Boiled Egg,0,16.5,0,0,1,269,124,307
2010-01-20,2,1,Winter,363,Breakfast,Tea,0,16.5,0,0,1,307,86,359
2010-01-20,2,1,Winter,418,Dinner,Aloo Samosa,0,16.5,0,0,1,195,294,386
2010-01-20,2,1,Winter,418,Dinner,Dahi,0,16.5,0,0,1,386,66,347
2010-01-20,2,1,Winter,418,Dinner,Pudina Chutney,0,16.5,0,0,1,347,105,201
2010-01-20,2,1,Winter,418,Dinner,Fried Chilli,0,16.5,0,0,1,201,251,248
2010-01-20,2,1,Winter,452,Lunch,Vada Pav,0,16.5,0,0,1,359,34,431
2010-01-20,2,1,Winter,452,Lunch,Aloo Chop,0,16.5,0,0,1,431,58,437
2010-01-20,2,1,Winter,452,Lunch,Sev,0,16.5,0,0,1,437,52,230
2010-01-20,2,1,Winter,452,Lunch,Onion,0,16.5,0,0,1,230,259,195
2010-01-21,3,1,Winter,413,Breakfast,Idli,1,20.2,0,0,0,248,204,338
2010-01-21,3,1,Winter,413,Breakfast,Sambar,1,20.2,0,0,0,338,109,339
2010-01-21,3,1,Winter,413,Breakfast,Coconut Chutney,1,20.2,0,0,0,339,108,212
2010-01-21,3,1,Winter,436,Dinner,Aloo Dum,1,20.2,0,0,0,244,257,378
2010-01-21,3,1,Winter,436,Dinner,Dahi,1,20.2,0,0,0,378,93,375
2010-01-21,3,1,Winter,436,Dinner,Onion,1,20.2,0,0,0,375,96,172
2010-01-21,3,1,Winter,436,Dinner,Sev,1,20.2,0,0,0,172,299,176
2010-01-21,3,1,Winter,463,Lunch,Aloo Chop,1,20.2,0,0,0,212,235,366
2010-01-21,3,1,Winter,463,Lunch,Dahi,1,20.2,0,0,0,366,135,389
2010-01-21,3,1,Winter,463,Lunch,Onion,1,20.2,0,0,0,389,112,202
2010-01-21,3,1,Winter,463,Lunch,Sev,1,20.2,0,0,0,202,299,244
2010-01-22,4,1,Winter,350,Breakfast,Idli,0,24.5,0,0,0,176,295,289
2010-01-22,4,1,Winter,350,Breakfast,Sambar,0,24.5,0,0,0,289,89,281
2010-01-22,4,1,Winter,350,Breakfast,Pudina Chutney,0,24.5,0,0,0,281,97,216
2010-01-22,4,1,Winter,425,Dinner,Ghuguni,0,24.5,0,0,0,394,86,414
2010-01-22,4,1,Winter,425,Dinner,Aloo Dum,0,24.5,0,0,0,414,46,363
2010-01-22,4,1,Winter,425,Dinner,Onion,0,24.5,0,0,0,363,97,192
2010-01-22,4,1,Winter,425,Dinner,Dahi,0,24.5,0,0,0,192,268,370
2010-01-22,4,1,Winter,444,Lunch,Ghuguni,0,24.5,0,0,0,216,162,387
2010-01-22,4,1,Winter,444,Lunch,Aloo Dum,0,24.5,0,0,0,387,93,420
2010-01-22,4,1,Winter,444,Lunch,Onion,0,24.5,0,0,0,420,60,240
2010-01-22,4,1,Winter,444,Lunch,Dahi,0,24.5,0,0,0,240,240,394
2010-01-23,5,1,Winter,381,Breakfast,Poha,1,24.3,0,0,0,370,90,337
2010-01-23,5,1,Winter,381,Breakfast,Tea,1,24.3,0,0,0,337,75,323
2010-01-23,5,1,Winter,381,Breakfast,Banana,1,24.3,0,0,0,323,89,281
2010-01-23,5,1,Winter,385,Dinner,Ghuguni,1,24.3,0,0,0,235,218,333
2010-01-23,5,1,Winter,385,Dinner,Aloo Dum,1,24.3,0,0,0,333,83,359
2010-01-23,5,1,Winter,385,Dinner,Onion,1,24.3,0,0,0,359,57,166
2010-01-23,5,1,Winter,385,Dinner,Dahi,1,24.3,0,0,0,166,250,291
2010-01-23,5,1,Winter,419,Lunch,Aloo Chop,1,24.3,0,0,0,281,131,357
2010-01-23,5,1,Winter,419,Lunch,Dahi,1,24.3,0,0,0,357,96,391
2010-01-23,5,1,Winter,419,Lunch,Onion,1,24.3,0,0,0,391,62,180
2010-01-23,5,1,Winter,419,Lunch,Sev,1,24.3,0,0,0,180,273,235
2010-01-24,6,1,Winter,317,Breakfast,Pav,0,19.4,0,0,0,291,125,254
2010-01-24,6,1,Winter,317,Breakfast,Boiled Egg,0,19.4,0,0,0,254,89,219
2010-01-24,6,1,Winter,317,Breakfast,Tea,0,19.4,0,0,0,219,124,259
2010-01-24,6,1,Winter,356,Dinner,Aloo Samosa,0,19.4,0,0,0,202,213,326
2010-01-24,6,1,Winter,356,Dinner,Dahi,0,19.4,0,0,0,326,59,277
2010-01-24,6,1,Winter,356,Dinner,Pudina Chutney,0,19.4,0,0,0,277,108,208
2010-01-24,6,1,Winter,356,Dinner,Fried Chilli,0,19.4,0,0,0,208,177,182
2010-01-24,6,1,Winter,384,Lunch,Aloo Dum,0,19.4,0,0,0,259,84,330
2010-01-24,6,1,Winter,384,Lunch,Dahi,0,19.4,0,0,0,330,85,332
2010-01-24,6,1,Winter,384,Lunch,Onion,0,19.4,0,0,0,332,83,192
2010-01-24,6,1,Winter,384,Lunch,Sev,0,19.4,0,0,0,192,223,202
2010-01-25,0,1,Winter,367,Breakfast,Masala Upma,0,19.5,0,0,0,182,203,280
2010-01-25,0,1,Winter,367,Breakfast,Banana,0,19.5,0,0,0,280,117,300
2010-01-25,0,1,Winter,367,Breakfast,Tea,0,19.5,0,0,0,300,97,332
2010-01-25,0,1,Winter,436,Dinner,Ghuguni,0,19.5,0,0,0,172,364,345
2010-01-25,0,1,Winter,436,Dinner,Aloo Chop,0,19.5,0,0,0,345,126,356
2010-01-25,0,1,Winter,436,Dinner,Onion,0,19.5,0,0,0,356,115,152
2010-01-25,0,1,Winter,436,Dinner,Dahi,0,19.5,0,0,0,152,319,338
2010-01-25,0,1,Winter,496,Lunch,Aloo Dum,0,19.5,0,0,0,332,65,429
2010-01-25,0,1,Winter,496,Lunch,Dahi,0,19.5,0,0,0,429,107,421
2010-01-25,0,1,Winter,496,Lunch,Fried Chilli,0,19.5,0,0,0,421,115,303
2010-01-25,0,1,Winter,496,Lunch,Onion,0,19.5,0,0,0,303,233,172
2010-01-26,1,1,Winter,358,Breakfast,Bada,0,19.6,0,1,0,338,133,291
2010-01-26,1,1,Winter,358,Breakfast,Sambar,0,19.6,0,1,0,291,96,308
2010-01-26,1,1,Winter,358,Breakfast,Pudina Chutney,0,19.6,0,1,0,308,79,148
2010-01-26,1,1,Winter,385,Dinner,Chole,0,19.6,0,1,0,268,190,362
2010-01-26,1,1,Winter,385,Dinner,Bhature,0,19.6,0,1,0,362,54,346
2010-01-26,1,1,Winter,385,Dinner,Onion,0,19.6,0,1,0,346,70,149
2010-01-26,1,1,Winter,424,Lunch,Aloo Samosa,0,19.6,0,1,0,148,239,380
2010-01-26,1,1,Winter,424,Lunch,Dahi,0,19.6,0,1,0,380,78,391
2010-01-26,1,1,Winter,424,Lunch,Pudina Chutney,0,19.6,0,1,0,391,67,253
2010-01-26,1,1,Winter,424,Lunch,Fried Chilli,0,19.6,0,1,0,253,205,268
2010-01-27,2,1,Winter,384,Breakfast,Poha,0,17.6,0,0,0,149,267,278
2010-01-27,2,1,Winter,384,Breakfast,Tea,0,17.6,0,0,0,278,137,364
2010-01-27,2,1,Winter,384,Breakfast,Banana,0,17.6,0,0,0,364,51,319
2010-01-27,2,1,Winter,519,Dinner,Aloo Dum,0,17.6,0,0,0,279,261,441
2010-01-27,2,1,Winter,519,Dinner,Dahi,0,17.6,0,0,0,441,120,409
2010-01-27,2,1,Winter,519,Dinner,Onion,0,17.6,0,0,0,409,152,216
2010-01-27,2,1,Winter,519,Dinner,Sev,0,17.6,0,0,0,216,345,224
2010-01-27,2,1,Winter,500,Lunch,Chole,0,17.6,0,0,0,319,96,483
2010-01-27,2,1,Winter,500,Lunch,Bhature,0,17.6,0,0,0,483,57,500
2010-01-27,2,1,Winter,500,Lunch,Dahi,0,17.6,0,0,0,500,40,412
2010-01-27,2,1,Winter,500,Lunch,Pudina Chutney,0,17.6,0,0,0,412,128,279
2010-01-28,3,1,Winter,420,Breakfast,Boiled Egg,0,18.4,0,0,0,224,337,308
2010-01-28,3,1,Winter,420,Breakfast,Bread,0,18.4,0,0,0,308,146,307
2010-01-28,3,1,Winter,420,Breakfast,Coffee,0,18.4,0,0,0,307,147,284
2010-01-28,3,1,Winter,457,Dinner,Dry Ghuguni,0,18.4,0,0,0,237,296,348
2010-01-28,3,1,Winter,457,Dinner,Aloo Dum,0,18.4,0,0,0,348,146,392
2010-01-28,3,1,Winter,457,Dinner,Onion,0,18.4,0,0,0,392,102,213
2010-01-28,3,1,Winter,457,Dinner,Dahi,0,18.4,0,0,0,213,281,376
